id,creation_date,data.colecao.value,Autor,Data,Museu,Tipo,Titulo,Formato,URL,url,,,,,,,,
151,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Godofredo da silveira,1884,Biblioteca Estadual do Espírito Santo,,"Almanak Administrativo, Mercantil, Industrial e Agrícola da província do Espirito Santo para o anno de 1884",periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1324/TOMBO-048634.pdf,https://midiateca.es.gov.br/site/acervo/almanak-administrativo-mercantil-industrial-e-agricola-da-provincia-do-espirito-santo-para-o-anno-de-1884/,,,,,,,,
150,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Hilton nogueira,1930,Biblioteca Estadual do Espírito Santo,,A Alvorada,periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1308/A-ALVORADA-No-5-ANNO-I.pdf,https://midiateca.es.gov.br/site/acervo/a-alvorada/,,,,,,,,
153,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Heráclito amâncio pereira,1919,Biblioteca Estadual do Espírito Santo,,Almanak do Estado do Espírito Santo,periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1338/TOMBO-037677.pdf,https://midiateca.es.gov.br/site/acervo/almanak-do-estado-do-espirito-santo/,,,,,,,,
152,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Cezar augusto marques,1862,Biblioteca Estadual do Espírito Santo,,Almanach de lembranças brazileira,periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1320/TOMBO-049320.pdf,https://midiateca.es.gov.br/site/acervo/almanach-de-lembrancas-brazileira/,,,,,,,,
164,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Heráclito amâncio pereira,1918,Biblioteca Estadual do Espírito Santo,,almanak do estado do espírito santo,livro,,https://midiateca.es.gov.br/site/acervo/almanak-do-estado-do-espirito-santo-2/,,,,,,,,
163,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Gustavo estienne,1897,Biblioteca Estadual do Espírito Santo,,A estrada de ferro Brazil-Pacífico ou o transcontinental sul-americano,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1316/TOMBO-017618.pdf,https://midiateca.es.gov.br/site/acervo/a-estrada-de-ferro-brazil-pacifico-ou-o-transcontinental-sul-americano/,,,,,,,,
157,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,A. moreira dantas,1899,Biblioteca Estadual do Espírito Santo,,Almanak do Estado do Espírito Santo,periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1331/TOMBO-048595.pdf,https://midiateca.es.gov.br/site/acervo/almanak-do-estado-do-espirito-santo-3/,,,,,,,,
176,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Não identificado,1870,Biblioteca Estadual do Espírito Santo,,Annuário Industrial,periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1341/TOMBO-048695.pdf,https://midiateca.es.gov.br/site/acervo/annuario-industrial/,,,,,,,,
171,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Francisco pereira passos,1880,Biblioteca Estadual do Espírito Santo,,"as estradas de ferro do brasil em 1879 - primeira parte - estradas de ferro nas províncias do rio de janeiro, minas gerais e são paulo. informações colligidas pela administração da estrada de ferro d. pedro ii",livro,,https://midiateca.es.gov.br/site/acervo/as-estradas-de-ferro-do-brasil-em-1879-primeira-parte-estradas-de-ferro-nas-provincias-do-rio-de-janeiro-minas-gerais-e-sao-paulo-informacoes-colligidas-pela-administracao-da-estrada-de-ferro-d/,,,,,,,,
167,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Daniel fefoe,s.d.,Biblioteca Estadual do Espírito Santo,,Aventuras de Robinson Crusoé,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1348/TOMBO-048895.pdf,https://midiateca.es.gov.br/site/acervo/aventuras-de-robinson-crusoe/,,,,,,,,
165,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Godofredo da silveira,1889,Biblioteca Estadual do Espírito Santo,,"Almanak Administrativo, Mercantil, Industrial e Agrícola da província do Espirito Santo para o anno de 1889 contendo a complilação das leis da província de 1886,1887 e 1888.",periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1328/TOMBO-048706.pdf,https://midiateca.es.gov.br/site/acervo/almanak-administrativo-mercantil-industrial-e-agricola-da-provincia-do-espirito-santo-para-o-anno-de-1889-contendo-a-complilacao-das-leis-da-provincia-de-18861887-e-1888/,,,,,,,,
